Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,00:00:00,5,0,3.8%,374.4018507914598,29,1,3.8%,316.6730938974199,74,0,0.36%,317.10914260041113,38,0,0.32%,310.6393927808853
August,1,00:30:00,4,0,4.99%,318.83908610779775,21,1,4.99%,304.212394892319,56,0,0.2%,312.7369803214273,27,0,0.12%,322.72520959040406
August,1,01:00:00,3,0,4.9%,351.8058663734688,9,0,4.9%,362.0262344000076,41,0,0.53%,308.83730385613137,20,0,0.22%,337.67491353588593
August,1,01:30:00,2,0,5.86%,305.3956038475879,5,0,5.86%,327.89268085754776,31,0,0.62%,310.5964374415242,16,0,0.48%,329.8800668541547
August,1,02:00:00,2,0,1.89%,353.5034529233515,4,0,1.89%,340.3200757179409,21,0,1.52%,287.4516356812533,11,0,1.26%,331.61485265386256
August,1,02:30:00,2,0,0.9%,312.9068086779405,3,0,0.9%,373.0294084456846,18,0,1.32%,305.4592283286211,8,0,0.71%,333.44711704329455
August,1,03:00:00,2,0,0.77%,325.93223593828816,3,0,0.77%,382.89356978228255,13,0,1.86%,313.6759792653527,3,0,1.84%,388.0377274332077
August,1,03:30:00,2,0,0.0%,366.4554744332878,3,0,0.0%,325.0815068195087,13,0,0.19%,325.76334834067853,2,0,1.26%,283.4556873651843
August,1,04:00:00,2,0,0.0%,256.7011411986503,2,0,0.0%,307.50135662582727,11,0,0.66%,328.38225566151715,2,0,0.98%,432.5490701705159
August,1,04:30:00,2,0,0.0%,237.12177054313528,2,0,0.0%,288.0017870657423,12,0,0.64%,317.22037797060153,3,0,2.17%,351.7774568152361
August,1,05:00:00,2,0,0.0%,255.447733857929,2,0,0.0%,354.18622463779434,14,0,0.46%,324.6867250936829,3,0,1.06%,291.9583835910557
August,1,05:30:00,2,0,1.74%,299.7416804666745,3,0,1.74%,329.4853201122114,17,0,0.78%,291.62704730315414,2,0,0.12%,320.47766947605965
August,1,06:00:00,3,0,6.0%,256.78389529371384,4,0,6.0%,319.8002731917612,28,0,0.21%,261.2702724623496,10,0,0.6%,240.96603391124415
August,1,06:30:00,4,1,31.75%,262.8934815777819,6,2,31.75%,374.5858122076291,48,0,0.98%,253.62858765467632,18,0,2.04%,263.58440820941814
August,1,07:00:00,8,1,14.89%,258.97555742139934,18,3,14.89%,274.98514224445785,85,0,0.28%,255.52842014791213,32,0,0.35%,263.54404399965904
August,1,07:30:00,13,2,12.7%,307.7836611204741,30,4,12.7%,295.82364391518166,138,1,0.6%,253.50719305149536,54,0,0.43%,271.3625831649123
August,1,08:00:00,39,1,2.56%,250.06474208383804,59,2,2.56%,287.2580783399097,252,1,0.24%,274.24001844642265,96,0,0.24%,274.2574166827964
August,1,08:30:00,67,2,3.07%,280.7654507319425,89,3,3.07%,308.00283235808956,369,1,0.3%,292.4370230021509,141,1,0.46%,284.9991259331814
August,1,09:00:00,98,2,1.57%,281.0134079404556,144,2,1.57%,304.906014058508,521,1,0.21%,300.1338603461897,208,1,0.33%,285.908152216319
August,1,09:30:00,125,2,1.52%,290.885117992354,183,3,1.52%,319.4583676494967,659,4,0.56%,308.8735466907582,255,2,0.63%,290.4198174208775
August,1,10:00:00,146,1,1.01%,289.94394757916615,224,2,1.01%,319.81601775046755,777,3,0.39%,314.21982784562243,303,2,0.6%,297.91619566702616
August,1,10:30:00,170,2,0.99%,288.1095798835077,252,3,0.99%,332.535411779585,861,6,0.68%,324.2353316551182,336,4,1.31%,306.17699950577287
August,1,11:00:00,181,1,0.76%,293.4350749649778,279,2,0.76%,334.2116090018661,923,4,0.38%,330.2922172439151,366,2,0.6%,308.94304258504144
August,1,11:30:00,188,2,1.23%,297.2089358190753,305,4,1.23%,335.84182608389216,963,5,0.56%,333.7743338470914,384,2,0.51%,310.22078065883966
August,1,12:00:00,194,3,1.79%,295.271228214797,331,6,1.79%,335.9665047939112,974,5,0.52%,333.58287667819826,399,2,0.45%,309.604036996808
August,1,12:30:00,197,5,2.4%,293.9928511385599,338,8,2.4%,341.12438230523674,979,8,0.82%,335.72895338467094,404,3,0.68%,309.6946259623472
August,1,13:00:00,197,4,1.9%,297.9287051460048,351,7,1.9%,334.8766659177673,968,4,0.41%,339.3542051482782,399,3,0.66%,312.4600969051378
August,1,13:30:00,197,2,1.09%,299.3337968288782,358,4,1.09%,334.729610993069,959,7,0.72%,338.9611414406818,401,3,0.75%,313.72074896345043
August,1,14:00:00,201,2,1.0%,300.3286292381138,376,4,1.0%,336.86352365498857,970,5,0.5%,340.70652928462243,417,2,0.58%,312.5465374201917
August,1,14:30:00,204,4,2.05%,301.0424309107052,378,8,2.05%,341.5657870885117,974,7,0.7%,340.40821126282225,419,4,0.99%,316.3156286029088
August,1,15:00:00,202,4,1.74%,298.81680294684026,377,7,1.74%,338.91104767932273,954,3,0.31%,341.4721817559208,414,2,0.55%,316.09273022507057
August,1,15:30:00,203,5,2.53%,298.92035145184053,375,9,2.53%,337.65846914907286,945,5,0.49%,343.59036378343086,410,3,0.82%,314.32758003740184
August,1,16:00:00,201,2,1.1%,307.50714020590806,374,4,1.1%,341.90312877967153,932,3,0.29%,341.5053455723524,414,2,0.41%,317.91413379237775
August,1,16:30:00,193,1,0.49%,299.43141327659384,360,2,0.49%,341.9352183233009,896,2,0.22%,342.2042911787896,397,1,0.37%,317.86836045624375
August,1,17:00:00,171,3,1.85%,301.05208835257554,341,6,1.85%,342.7371296945722,843,3,0.39%,341.5172402767826,375,2,0.42%,320.179672975257
August,1,17:30:00,150,3,1.67%,299.35858156543185,324,5,1.67%,344.4022665687436,786,3,0.39%,338.4010087885291,350,2,0.5%,316.699069828373
August,1,18:00:00,131,1,1.01%,298.3402356615302,299,3,1.01%,342.59694319215333,720,3,0.46%,339.6989416493003,321,1,0.25%,317.23560326790624
August,1,18:30:00,112,2,1.34%,306.78864172737065,269,4,1.34%,338.89210461246284,642,2,0.39%,340.42897901967416,284,1,0.22%,318.8499864939702
August,1,19:00:00,75,1,0.78%,311.3805928139418,242,2,0.78%,336.64962449344574,573,2,0.42%,337.91811587896285,261,1,0.41%,311.79220570670947
August,1,19:30:00,59,1,1.62%,298.330806398453,220,4,1.62%,332.4432233794185,509,4,0.71%,336.6786849808944,238,2,0.68%,323.47749432754625
